time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2023-01-01,11.4,6.1,12.8,1.0,268.0,21.6,1008.7
2023-01-02,6.5,2.2,11.1,0.0,271.0,12.2,1018.5
2023-01-03,4.9,1.1,7.2,12.2,8.0,7.6,1015.7
2023-01-04,5.2,4.4,7.2,8.1,38.0,8.6,1012.3
2023-01-05,5.6,1.7,7.2,2.3,22.0,24.1,1015.7
2023-01-06,1.6,0.6,2.2,4.8,338.0,13.0,1016.2
2023-01-07,3.0,-0.6,6.7,0.0,287.0,14.8,1018.2
2023-01-08,-0.2,-3.9,3.3,0.0,260.0,15.1,1023.7
2023-01-09,1.4,-2.2,6.1,0.0,255.0,15.5,1012.5
2023-01-10,2.7,-2.2,5.6,0.0,309.0,16.6,1015.1
2023-01-11,-1.7,-5.0,1.7,0.3,2.0,13.3,1025.5
2023-01-12,1.3,-1.1,9.4,6.4,59.0,14.0,1022.2
2023-01-13,11.1,3.9,14.4,9.7,211.0,25.6,1002.2
2023-01-14,2.7,0.6,3.9,1.5,345.0,19.8,1009.1
2023-01-15,0.9,-1.7,2.8,0.5,5.0,31.7,1014.7
2023-01-16,-0.4,-1.1,1.1,2.8,330.0,23.0,1008.5
2023-01-17,3.2,0.0,10.0,0.3,262.0,15.1,1002.9
2023-01-18,7.3,4.4,11.1,0.8,271.0,18.7,1004.9
2023-01-19,4.3,1.7,5.6,14.5,5.0,14.4,1013.3
2023-01-20,1.7,-0.6,3.3,12.4,348.0,16.2,1004.8
2023-01-21,-0.4,-1.7,0.6,0.0,323.0,13.3,1019.2
2023-01-22,-0.6,-2.2,2.8,6.1,219.0,12.2,1020.5
2023-01-23,1.6,-0.6,2.2,22.1,342.0,25.6,1001.9
2023-01-24,1.0,-1.1,3.9,0.0,259.0,23.0,1015.8
2023-01-25,1.8,0.6,6.1,7.9,154.0,15.1,1022.7
2023-01-26,7.2,1.7,12.8,18.3,245.0,28.8,999.2
2023-01-27,2.4,-1.1,5.6,0.0,258.0,13.7,1017.9
2023-01-28,3.8,-1.1,10.0,0.0,226.0,18.7,1022.5
2023-01-29,6.1,1.1,10.6,0.0,193.0,13.7,1022.9
2023-01-30,6.4,2.2,7.8,0.0,271.0,11.2,1019.6
2023-01-31,2.3,-5.0,5.0,1.0,340.0,16.9,1021.9
2023-02-01,-3.6,-6.1,-1.1,0.0,344.0,12.2,1024.5
2023-02-02,-1.2,-4.4,3.3,0.0,238.0,19.8,1017.8
2023-02-03,-3.9,-22.2,0.6,0.0,284.0,35.3,1011.7
2023-02-04,-17.8,-23.3,-7.8,0.0,270.0,25.6,1031.9
2023-02-05,-1.1,-7.8,10.6,0.0,216.0,21.2,1020.3
2023-02-06,4.9,0.0,9.4,0.0,328.0,16.9,1016.7
2023-02-07,-0.7,-4.4,1.1,1.0,55.0,16.9,1025.5
2023-02-08,4.4,1.1,9.4,0.0,261.0,19.8,1019.5
2023-02-09,4.8,0.0,8.3,0.0,118.0,10.1,1022.1
2023-02-10,8.4,2.8,15.6,0.0,301.0,20.5,1008.0
2023-02-11,5.1,0.0,6.7,0.0,287.0,20.5,1020.2
2023-02-12,3.9,-0.6,10.0,0.0,215.0,11.5,1017.3
2023-02-13,4.8,2.8,6.7,0.0,39.0,18.0,1003.9
2023-02-14,5.8,1.7,11.1,0.0,287.0,14.8,1013.9
2023-02-15,6.3,0.6,13.9,0.0,189.0,19.8,1016.5
2023-02-16,13.0,7.8,16.7,0.3,247.0,13.7,1012.8
2023-02-17,10.4,-3.3,15.6,1.8,275.0,20.5,1003.4
2023-02-18,-0.9,-5.0,5.0,0.0,272.0,19.8,1022.6
2023-02-19,3.4,0.6,8.3,0.0,200.0,15.8,1024.2
2023-02-20,9.9,6.7,16.1,0.0,249.0,17.3,1005.6
2023-02-21,5.0,0.6,7.8,3.8,44.0,14.8,1005.2
2023-02-22,4.4,0.6,6.7,6.6,278.0,15.5,1017.9
2023-02-23,0.5,-3.3,1.1,13.5,21.0,24.5,1015.6
2023-02-24,-0.9,-7.7,3.3,0.3,310.0,23.4,1020.9
2023-02-25,-7.9,-10.6,-6.7,0.3,313.0,11.9,1029.5
2023-02-26,-4.2,-7.8,3.9,0.0,268.0,11.9,1012.6
2023-02-27,-1.7,-2.8,-0.6,0.0,46.0,18.7,1014.9
2023-02-28,0.6,-1.7,2.2,7.1,86.0,23.8,1010.7
2023-03-01,2.4,0.6,5.6,0.0,12.0,14.0,1019.1
